keys	en	pt_BR
NEW_GAME	START GAME	NOVO JOGO
LOAD_GAME	LOAD	CARREGAR
SETTINGS	SETTINGS	CONFIGURAÇÕES
QUIT_TO_DESKTOP	QUIT	SAIR
RESUME_GAME	RESUME	RETORNAR
QUIT_TO_MAIN_MENU	QUIT	SAIR
AUDIO_SETTINGS	AUDIO	ÁUDIO
VIDEO_SETTINGS	VIDEO	VÍDEO
GAMEPLAY_SETTINGS	GAMEPLAY	JOGABILIDADE
SAVE_SETTINGS	SAVE CHANGES \n AND QUIT	SALVAR MUDANÇAS \n E SAIR
RETURN_SETTINGS	QUIT WITHOUT \n SAVING	SAIR SEM \n SALVAR
RETURN_TO_MAIN_MENU	RETURN	RETORNAR
GAME_OVER	GAME OVER	FIM DA LINHA
MASTER_VOLUME	MASTER	TOTAL
MUSIC_VOLUME	MUSIC	MUSICA
SFX_VOLUME	SFX	EFEITOS
INPUT_FORWARD	FORWARD	FRENTE
INPUT_BACKWARD	BACKWARD	ATRÁS
INPUT_LEFT	LEFT	ESQUERDA
INPUT_RIGHT	RIGHT	DIREITA
THANKS_4_PLAYING	THIS IS THE END OF THIS CURRENT TEST BUILD, SHOWCASING WHAT WE HAVE DEVELOPED THROUGHOUT THIS SEMESTER. \n \n CULPRIT WILL CONTINUE DEVELOPMENT AND BE RELEASED IN THE NEAR FUTURE, WITH MUCH MORE CONTENT TO EXPLORE. \n \n OUR TEAM WOULD LIKE TO THANK THE TEACHERS AT CARAPICUÍBA'S FATEC UNIT'S GAME DESIGN COURSE FOR THE ASSISTANCE AND LEARNED LESSONS IN DEVELOPING THIS PROJECT. \n \n THIS GAME WAS DEVELOPED BY OUR TEAM COMPRISED OF : \n   CAIO CÉSAR NOGUEIRA, PROGRAMMER, CONCEPT AND 3D ARTIST AND DESIGNER; \n   ELY GABRIEL DE TOLEDO AGUILERA, PROGRAMMER; \n \n Protagonist's breathing sound effect originally by Deathscyp from https://freesound.org/people/Deathscyp/ \n Creaking open door sound effect originally by InspectorJ from https://freesound.org/people/InspectorJ/ \n Slamming shut door sound effect  originally by steinhyrningur from https://freesound.org/people/steinhyrningur/ \n Torch fire ambient sounds originally by phreaKsAccount from https://freesound.org/people/PhreaKsAccount/ \n Protagonist's step sound effect originally by movingPlaid from https://freesound.org/people/movingplaid/ \n Wind ambient sounds  originally by florianreichelt from https://freesound.org/people/florianreichelt/ \n Water droplets ambient sound by giddster from https://freesound.org/people/giddster/sounds/386440/ \n Soft wind ambient sound by dobroide from https://freesound.org/people/dobroide/sounds/109374/ \n Howling strong winds ambient sound by dobroide from https://freesound.org/people/dobroide/sounds/484727/ \n Soft howling wind ambient sound by dobroide from https://freesound.org/people/dobroide/sounds/109375/ \n All other assets were developed by our team.	ESSE É O FIM DESTA VERSÃO DE TESTE, DEMONSTRANDO O QUE DESENVOLVEMOS AO LONGO DESTE SEMESTRE. \n \n CULPRIT SEGUIRÁ DESENVOLVIMENTO E SERÁ LANÇADO POR COMPLETO NO FUTURO PRÓXIMO, COM MUITO MAIS CONTEÚDO PARA SER EXPLORADO. \n \n NOSSO TIME GOSTARIA DE AGRADECER AOS PROFESSORES DO CURSO DE JOGOS DIGITAIS DA FATEC DE CARAPICUÍBA POR TODA ASSISTÊNCIA E CONHECIMENTO ADQUIRIDO NO DESENVOLVIMENTO DESTE PROJETO. \n \n ESTE JOGO FOI DESENVOLVIDO PELO NOSSO TIME, COMPOSTO POR: \n CAIO CÉSAR NOGUEIRA, PROGRAMADOR, ARTISTA CONCEITUAL E 3D E DESIGNER; \n ELY GABRIEL DE TOLEDO AGUILERA, PROGRAMADOR; \n \n Som de respiração da protagonista original de Deathscyp em https://freesound.org/people/Deathscyp/ \n Som de porta se abrindo original de InspectorJ em https://freesound.org/people/InspectorJ/ \n Som de porta batendo original de steinhyrningur em https://freesound.org/people/steinhyrningur/ \n Som ambiente das tochas original de phreaKsAccount em https://freesound.org/people/PhreaKsAccount/ \n Som de passos da protagonista original de movingPlaid em https://freesound.org/people/movingplaid/ \n Som ambiente de vento leve original de florianreichelt em https://freesound.org/people/florianreichelt/ \n Som ambiente de pingos d'água de giddster em https://freesound.org/people/giddster/sounds/386440/ \n Som ambiente de vendo leve de dobroide em https://freesound.org/people/dobroide/sounds/109374/ \n Som ambiente de ventania forte de dobroide em https://freesound.org/people/dobroide/sounds/484727/ \n Som ambiente de ventania leve de dobroide em https://freesound.org/people/dobroide/sounds/109375/ \n Todos os outros materiais são autorais da equipe.
FULLSCREEN_SETTING	FULLSCREEN	TELA CHEIA
SCREEN_BRIGHTNESS_SETTING	BRIGHTNESS	BRILHO
LANGUAGE_SETTING	LANGUAGE	LINGUAGEM
PT_BR_LANGUAGE	PORTUGUESE(BRAZIL)	PORTUGUÊS(BRASIL)
EN_LANGUAGE	ENGLISH	INGLÊS
